RectMTF_v186_EURUSD_20230221_133400_225773562_BE
Generado con EA_RectanguloMTF_v1.8.7
Timestamp;TradeNum;Ticket;TradeType;Event;ProfitPips;BEThreshold;StopLevel;SpreadPips;EntryPrice;SLPlaced;SLDistEntry;Notes
2023.03.21 14:40;5;5;BUY;BE_PENDING;0.70;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:41;5;5;BUY;BE_PENDING;0.20;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:41;5;5;BUY;BE_PENDING;0.70;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:41;5;5;BUY;BE_PENDING;1.30;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:41;5;5;BUY;BE_PENDING;0.50;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:42;5;5;BUY;BE_PENDING;1.00;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:43;5;5;BUY;BE_PENDING;1.60;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:43;5;5;BUY;BE_PENDING;1.10;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:44;5;5;BUY;BE_PENDING;0.50;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:45;5;5;BUY;BE_PENDING;1.00;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:45;5;5;BUY;BE_PENDING;0.50;4.5;;;;;;Profit bajo umbral BE
2023.03.21 14:47;5;5;BUY;TRADE_CLOSED;-4100.00;4.5;;;1.07797;0.00000;;BE no activado
2023.03.21 15:16;6;6;BUY;TRADE_OPENED;0;4.5;0;0.2;1.07777;;5.0;SL=5.0 pips de entry
2023.03.21 15:16;6;6;BUY;BE_PENDING;1.00;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:16;6;6;BUY;BE_PENDING;1.60;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:16;6;6;BUY;BE_PENDING;1.10;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:17;6;6;BUY;BE_PENDING;1.60;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:17;6;6;BUY;BE_PENDING;1.10;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:17;6;6;BUY;BE_PENDING;0.50;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:18;6;6;BUY;BE_PENDING;1.10;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:18;6;6;BUY;BE_PENDING;1.60;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:18;6;6;BUY;BE_PENDING;1.10;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:18;6;6;BUY;BE_PENDING;0.50;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:20;6;6;BUY;BE_PENDING;1.00;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:20;6;6;BUY;BE_PENDING;0.50;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:20;6;6;BUY;BE_PENDING;1.00;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:21;6;6;BUY;BE_PENDING;0.50;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:24;6;6;BUY;BE_PENDING;1.10;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:24;6;6;BUY;BE_PENDING;1.60;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:24;6;6;BUY;BE_PENDING;2.20;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:24;6;6;BUY;BE_PENDING;1.70;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:24;6;6;BUY;BE_PENDING;0.90;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:25;6;6;BUY;BE_PENDING;1.50;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:25;6;6;BUY;BE_PENDING;2.00;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:26;6;6;BUY;BE_PENDING;2.60;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:26;6;6;BUY;BE_PENDING;3.20;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:26;6;6;BUY;BE_PENDING;2.60;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:27;6;6;BUY;BE_PENDING;3.20;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:27;6;6;BUY;BE_PENDING;3.70;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:28;6;6;BUY;BE_PENDING;4.30;4.5;;;;;;Profit bajo umbral BE
2023.03.21 15:28;6;6;BUY;BE_ACTIVATED;4.50;4.5;3;0.2;1.07777;1.07737;4.0;OK
2023.03.21 16:04;6;6;BUY;TRADE_CLOSED;-4700.00;4.5;;;1.07777;1.07737;;BE activado en 4.50 pips
2023.03.22 13:49;7;7;BUY;TRADE_OPENED;0;4.5;0;0.2;1.07943;;3.7;SL=3.7 pips de entry
2023.03.22 13:49;7;7;BUY;BE_PENDING;0.10;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:51;7;7;BUY;BE_PENDING;0.60;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:51;7;7;BUY;BE_PENDING;1.20;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:51;7;7;BUY;BE_PENDING;0.40;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:53;7;7;BUY;BE_PENDING;1.10;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:53;7;7;BUY;BE_PENDING;1.60;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:53;7;7;BUY;BE_PENDING;2.30;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:53;7;7;BUY;BE_PENDING;2.90;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:53;7;7;BUY;BE_PENDING;3.60;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:54;7;7;BUY;BE_PENDING;3.10;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:54;7;7;BUY;BE_PENDING;2.50;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:55;7;7;BUY;BE_PENDING;1.90;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:55;7;7;BUY;BE_PENDING;2.50;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:55;7;7;BUY;BE_PENDING;3.00;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:56;7;7;BUY;BE_PENDING;2.50;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:56;7;7;BUY;BE_PENDING;1.80;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:56;7;7;BUY;BE_PENDING;2.40;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:56;7;7;BUY;BE_PENDING;2.90;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:56;7;7;BUY;BE_PENDING;3.50;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:57;7;7;BUY;BE_PENDING;2.80;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:58;7;7;BUY;BE_PENDING;3.30;4.5;;;;;;Profit bajo umbral BE
2023.03.22 13:59;7;7;BUY;BE_PENDING;2.80;4.5;;;;;;Profit bajo umbral BE
2023.03.22 14:00;7;7;BUY;BE_PENDING;2.20;4.5;;;;;;Profit bajo umbral BE
2023.03.22 14:00;7;7;BUY;BE_PENDING;1.70;4.5;;;;;;Profit bajo umbral BE
